"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31"
"V1";1;0;1;1;0;1;1;0;1;1;1;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0
"V2";1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1
"V3";1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1;1
"V4";1;0;0;1;0;1;0;1;0;1;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0
"V5";1;1;0;0;1;1;0;0;0;1;1;1;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;1;1;1;1
"V6";1;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1
"V7";1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;1;0
"V8";1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;1;1;0
"V9";1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
"V10";1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0
"V11";0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;0
"V12";0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;1
"V13";0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0
"V14";0;0;0;1;0;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0
"V15";0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0
"V16";1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;0;1
"V17";1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;0;1;1;1;0;1;1;0
"V18";1;1;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1
"V19";1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;1;0;0
"V20";1;0;1;1;0;0;0;0;0;1;1;1;0;1;0;1;0;0;1;0;0;1;1;0;1;1;0;1;1;0;1
"V21";1;0;0;1;0;1;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;1;0;1;1;1;0;0;1;1
"V22";0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;1;0;0;0
"V23";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V24";1;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0
"V25";1;0;0;1;0;1;0;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0
"V26";0;1;1;1;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"V27";0;1;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;1;1;1;1;1;1;0;1
"V28";0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0
"V29";0;0;1;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;1
"V30";0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;1;1
"V31";1;1;0;1;1;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0
"V32";1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1
"V33";1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0
"V34";0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0
"V35";0;1;0;0;0;1;1;0;0;0;0;1;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1
"V36";0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1
"V37";0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0
"V38";0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V39";0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V40";1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0
"V41";1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
"V42";0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0
"V43";1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
"V44";1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V45";1;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V46";0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0
"V47";0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
