"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";1;0;0;0
"V3";1;1;1;1
"V4";0;1;1;0
"V5";1;0;1;1
"V6";0;1;0;0
"V7";1;1;1;1
"V8";0;1;0;1
"V9";1;1;1;1
"V10";0;0;1;0
"V11";1;1;1;1
"V12";0;0;1;0
"V13";1;1;1;1
"V14";1;1;1;1
"V15";0;0;0;1
"V16";1;1;1;1
"V17";1;0;1;1
"V18";1;1;1;1
"V19";1;0;0;0
"V20";1;1;1;1
"V21";1;1;1;1
"V22";1;1;1;1
"V23";1;1;1;1
"V24";0;0;1;0
"V25";1;1;1;1
"V26";1;1;1;1
"V27";1;1;1;1
"V28";1;0;1;1
"V29";1;1;1;1
"V30";1;1;1;0
"V31";0;1;1;1
"V32";0;1;1;1
"V33";1;1;1;0
"V34";1;0;1;1
"V35";0;0;1;0
"V36";1;0;0;1
"V37";0;1;0;0
"V38";0;1;0;1
"V39";0;0;1;0
"V40";1;1;0;0
"V41";0;0;1;0
"V42";0;0;1;1
"V43";1;1;0;1
"V44";1;1;0;1
"V45";1;1;0;1
"V46";0;1;1;1
"V47";0;1;1;1
"V48";1;0;0;0
"V49";0;0;1;0
"V50";0;1;0;0
"V51";1;0;0;0
"V52";0;0;0;1
"V53";0;0;0;1
"V54";0;0;0;1
