"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"V1";1;1;1;1;1;1;1;1;1;1;1
"V2";0;0;1;0;0;0;0;1;0;0;1
"V3";1;0;0;1;1;1;0;0;0;0;0
"V4";0;0;0;0;0;1;0;1;0;0;0
"V5";1;1;1;1;0;0;1;1;1;1;1
"V6";1;1;1;1;1;1;1;1;1;1;1
"V7";1;1;1;1;0;1;1;1;1;1;1
"V8";0;0;1;1;1;1;1;1;0;1;1
"V9";1;1;1;1;0;1;1;1;1;1;1
"V10";1;1;0;1;1;1;1;1;0;0;0
"V11";1;0;0;0;0;1;1;0;0;1;1
"V12";0;1;0;0;1;1;1;1;1;1;0
"V13";1;1;0;1;1;1;1;1;1;1;1
"V14";0;1;1;1;1;0;1;0;1;1;1
"V15";1;0;0;1;0;1;1;0;0;0;1
"V16";0;0;0;0;1;0;1;0;0;0;0
"V17";1;0;1;1;1;1;1;1;1;1;1
"V18";1;1;1;0;0;1;0;0;1;1;1
"V19";1;1;1;1;1;1;1;0;1;1;1
"V20";0;1;1;1;1;1;1;1;1;1;1
"V21";1;1;1;0;1;0;0;1;1;1;0
"V22";1;1;1;1;1;0;0;0;1;1;0
"V23";1;1;1;1;1;0;1;1;1;1;1
"V24";1;1;1;1;1;0;1;0;1;1;1
"V25";1;1;0;0;1;1;1;1;0;1;1
"V26";0;0;1;0;0;0;0;0;0;0;1
"V27";1;0;1;0;0;0;1;0;0;1;0
"V28";0;1;1;1;1;1;1;1;1;0;1
"V29";0;1;1;1;0;1;1;0;0;1;1
"V30";1;1;1;0;1;1;1;1;1;1;0
"V31";1;0;0;1;0;1;1;0;1;0;0
"V32";1;1;0;1;0;0;1;0;1;0;1
"V33";1;1;1;1;1;1;1;1;1;1;1
"V34";1;1;1;1;1;1;1;1;1;1;1
"V35";1;1;1;1;1;1;1;1;1;1;1
"V36";1;1;1;1;1;1;1;1;1;1;1
"V37";1;1;1;1;1;1;1;1;1;1;1
"V38";1;1;0;1;0;1;0;0;0;0;0
"V39";1;1;0;0;0;0;1;0;0;0;0
"V40";0;0;0;1;0;0;0;0;0;1;0
"V41";0;1;0;0;1;1;0;0;0;0;0
"V42";0;0;0;0;0;0;0;1;1;0;0
"V43";0;0;1;0;0;0;0;0;1;0;1
"V44";0;0;0;1;1;1;0;0;1;0;0
"V45";1;0;1;0;0;0;1;1;1;1;1
"V46";0;1;0;0;0;0;1;0;1;0;0
"V47";0;0;0;0;0;0;0;0;0;1;0
"V48";0;0;0;0;1;0;0;0;0;0;0
"V49";0;0;0;1;0;0;0;0;0;0;0
"V50";0;0;0;0;1;0;0;0;0;0;0
"V51";0;0;1;0;0;0;0;1;1;0;0
"V52";0;1;0;0;1;0;0;0;0;1;0
"V53";1;0;0;0;0;0;0;0;0;0;0
"V54";0;0;0;0;0;0;0;1;0;0;0
"V55";0;1;0;1;0;0;0;0;0;0;0
"V56";0;0;0;0;0;0;0;1;0;0;0
"V57";0;0;0;0;1;0;0;0;0;0;0
"V58";0;0;0;0;0;0;1;0;0;0;0
"V59";0;0;1;0;1;0;0;0;0;0;1
"V60";1;0;0;0;1;0;0;1;1;1;0
"V61";0;0;0;1;1;1;1;0;0;0;0
"V62";0;0;0;0;0;0;0;1;0;0;0
"V63";0;0;0;0;0;0;0;1;0;0;0
"V64";0;0;0;0;0;0;1;0;0;0;0
"V65";0;1;0;0;1;0;0;0;1;1;0
"V66";0;0;0;0;0;0;0;0;1;0;0
"V67";0;1;0;0;0;0;0;0;0;0;0
"V68";0;0;0;0;0;0;0;0;1;0;0
"V69";0;0;0;0;0;0;0;0;0;0;1
"V70";0;0;0;0;1;0;0;0;0;0;0
"V71";0;0;0;0;0;0;0;0;0;1;0
"V72";0;0;0;1;0;0;0;0;0;0;0
"V73";0;0;0;0;0;0;1;0;0;0;0
"V74";0;0;0;0;0;0;1;0;0;0;0
"V75";0;0;0;0;0;0;1;0;0;0;0
"V76";0;1;0;0;0;0;0;0;0;0;0
"V77";0;0;0;0;0;0;1;0;0;0;0
"V78";0;1;0;0;1;0;0;0;1;1;1
"V79";0;0;0;0;0;1;0;0;0;0;0
"V80";0;0;0;0;0;0;0;0;0;0;1
"V81";0;0;0;0;0;0;0;0;0;1;0
"V82";0;0;0;0;0;1;0;1;1;1;0
"V83";0;1;0;1;0;0;0;0;0;0;0
"V84";0;0;0;0;0;0;0;0;0;1;0
"V85";0;0;0;0;0;0;1;0;0;0;0
"V86";0;0;0;0;1;0;0;0;0;0;0
"V87";1;0;0;0;0;0;0;0;0;0;0
"V88";0;0;0;0;1;0;0;0;0;0;0
"V89";0;0;0;0;1;0;0;0;0;0;0
"V90";0;0;0;0;0;0;0;0;0;0;1
"V91";0;0;0;0;0;0;0;0;1;0;0
"V92";0;0;0;0;0;0;0;0;1;0;1
"V93";1;0;0;0;0;0;0;1;0;0;0
"V94";0;1;0;0;0;0;0;0;0;0;0
"V95";0;0;0;0;0;0;1;0;0;0;0
"V96";0;0;0;0;0;0;0;1;1;1;0
"V97";0;0;0;0;0;0;1;0;0;1;1
"V98";0;0;0;1;0;0;0;0;0;1;1
"V99";0;0;0;0;0;0;0;0;0;1;0
"V100";0;0;1;0;0;0;0;0;0;0;0
"V101";0;1;0;1;0;1;0;0;0;0;0
"V102";0;0;0;0;1;0;0;1;0;1;0
"V103";0;0;0;0;0;1;1;0;0;0;1
"V104";0;0;0;1;0;0;0;0;0;0;0
"V105";1;0;0;0;0;0;0;1;0;1;0
"V106";0;0;1;0;0;0;1;0;0;0;1
"V107";0;0;1;0;0;1;0;0;0;0;1
"V108";0;0;0;1;0;0;0;0;0;0;0
"V109";0;0;0;0;1;0;0;0;0;0;0
"V110";0;0;0;0;0;1;0;0;0;0;0
"V111";0;0;0;0;0;0;1;0;0;0;0
"V112";0;0;0;0;0;1;0;0;0;0;0
"V113";0;0;0;0;0;0;0;0;0;1;0
"V114";0;0;0;0;1;0;0;0;0;0;0
"V115";0;0;0;0;0;1;0;0;0;0;0
"V116";0;0;0;0;0;0;0;0;1;0;0
"V117";0;0;0;0;0;0;1;0;0;0;0
