"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22"
"V1";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V2";1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0
"V3";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V4";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"V5";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"V6";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V7";1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
"V8";1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"V9";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1
"V10";1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1
"V11";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V12";0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1
"V13";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"V14";0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1
"V15";1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"V16";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V17";1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1;0;1
"V18";1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"V19";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V20";1;1;1;1;1;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;0
"V21";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V22";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
"V23";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V24";0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0
"V25";1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0
"V26";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V27";1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"V28";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V29";1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;1;0
"V30";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"V31";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"V32";1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0
"V33";0;1;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0
"V34";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V35";1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0
"V36";1;1;1;1;0;0;0;1;0;0;1;1;0;1;1;1;1;0;1;1;1;0
"V37";0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0
"V38";0;1;0;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1
"V39";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V40";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
