"matrix_id";"baseline";"ceof_cor";"nodf_columns_stat";"nodf_rows_stat";"nodf_general_stat";"temp_stat"
"mat_example_2";"r0";-0,086066296582387;52,7777777777778;55;54,1666666666667;32,2180443448047
"mat_example_2";"r0";NA;27,7777777777778;50;41,6666666666667;27,2379963448846
"mat_example_2";"r0";0,426401432711221;33,3333333333333;35;34,375;54,7552893598775
"mat_example_2";"r0";-0,718074428678818;61,1111111111111;40;47,9166666666667;34,4475056333363
"mat_example_2";"r0";0,134839972492648;52,7777777777778;45;47,9166666666667;21,2916575414992
"mat_example_2";"r0";NA;41,6666666666667;70;59,375;4,83971077000778
"mat_example_2";"r0";-0,457495710997814;50;55;53,125;25,5017542798669
"mat_example_2";"r0";0,577350269189626;16,6666666666667;45;34,375;47,0837284299037
"mat_example_2";"r0";-0,192450089729875;25;25;25;44,4477146133023
"mat_example_2";"r0";0,577350269189626;16,6666666666667;45;34,375;47,0837284299037
