"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"V1";1;1;0;1;1;1;1;1;1;1;1;1;1;1
"V2";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V3";0;1;0;0;0;0;0;0;0;0;0;0;1;0
"V4";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V5";0;0;1;0;1;0;0;0;1;1;0;0;0;0
"V6";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V7";0;0;0;1;0;0;0;1;0;0;0;1;0;0
"V8";1;0;1;1;1;1;1;1;1;1;1;1;1;1
"V9";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V10";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V11";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V12";0;0;0;0;0;0;0;0;1;0;0;1;1;0
"V13";0;1;1;1;1;1;1;1;1;1;1;1;1;1
"V14";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V15";0;0;0;1;0;1;1;0;0;0;1;0;0;0
"V16";1;1;1;1;1;0;1;1;1;1;1;1;1;1
"V17";1;1;1;1;1;1;1;1;0;1;1;0;1;1
"V18";0;0;0;0;0;1;0;0;1;0;1;1;0;0
"V19";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V20";0;0;0;1;0;1;0;0;0;0;0;0;0;0
"V21";0;0;1;0;0;0;0;0;0;1;0;0;0;1
"V22";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V23";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V24";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V25";0;1;0;1;0;0;0;0;0;0;0;0;0;0
"V26";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V27";0;1;0;0;0;0;0;0;1;0;0;0;0;0
"V28";1;1;0;1;1;1;1;1;1;1;1;1;1;1
"V29";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V30";0;0;0;0;0;1;0;0;0;1;0;1;0;0
"V31";0;0;0;0;1;1;0;0;0;0;0;0;0;0
"V32";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V33";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V34";1;1;0;0;1;1;1;1;1;1;1;1;1;1
"V35";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V36";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V37";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V38";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V39";1;1;1;1;0;1;1;1;1;1;0;1;1;1
"V40";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V41";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V42";1;1;1;0;1;1;1;0;1;1;1;1;1;0
"V43";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V44";1;1;1;0;1;1;0;1;1;0;1;1;1;1
"V45";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V46";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V47";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V48";0;0;0;0;1;0;0;0;0;0;1;0;0;0
"V49";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V50";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V51";1;0;0;1;0;1;1;1;0;1;1;1;1;1
"V52";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V53";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V54";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V55";0;0;0;0;1;0;0;0;0;0;0;1;0;0
"V56";1;1;1;0;1;0;1;1;0;1;1;0;0;1
"V57";1;1;0;1;1;1;1;0;0;1;0;1;1;0
"V58";1;0;0;1;0;1;1;0;1;1;0;1;1;1
"V59";0;1;1;1;1;1;0;1;0;1;0;1;0;1
"V60";1;0;0;1;1;0;1;1;1;1;1;0;0;1
"V61";0;1;0;1;0;1;1;1;0;1;1;1;1;0
"V62";1;1;0;1;1;0;1;0;1;1;1;0;1;0
"V63";0;1;0;0;0;1;1;1;1;1;1;1;1;0
"V64";1;0;0;1;1;0;1;1;0;0;1;1;1;1
"V65";0;1;0;0;1;1;1;0;1;1;1;1;1;0
"V66";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V67";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V68";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V69";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V70";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V71";0;0;0;0;0;1;0;0;0;0;0;0;0;0
