"";"V1";"V2";"V3";"V4"
"V1";0;1;0;0
"V2";0;0;1;1
"V3";0;0;0;1
"V4";0;0;0;1
"V5";0;0;1;0
"V6";1;0;0;0
"V7";1;0;1;0
"V8";1;1;1;1
"V9";1;1;1;1
"V10";0;0;1;0
"V11";1;1;1;1
"V12";1;1;1;1
"V13";0;0;1;0
"V14";1;1;1;1
"V15";1;1;1;1
"V16";0;0;0;1
"V17";1;0;0;1
"V18";1;1;1;1
"V19";1;0;1;0
"V20";1;0;0;0
"V21";1;1;1;1
"V22";1;0;1;1
"V23";0;0;1;1
"V24";0;1;0;1
"V25";1;0;1;1
"V26";0;0;0;1
"V27";1;1;0;1
"V28";0;1;0;1
"V29";1;1;1;0
"V30";0;0;1;0
"V31";1;0;0;0
"V32";1;0;0;0
"V33";1;0;0;0
"V34";1;0;0;0
"V35";0;0;1;0
"V36";0;0;1;0
"V37";1;0;0;0
"V38";0;0;0;1
"V39";0;1;1;1
"V40";0;1;0;0
"V41";0;1;0;0
"V42";0;0;0;1
"V43";0;0;0;1
"V44";1;0;0;0
"V45";1;0;0;1
"V46";0;0;0;1
"V47";1;0;0;0
"V48";0;0;1;0
"V49";0;1;0;0
"V50";0;1;0;0
"V51";0;1;0;0
"V52";0;0;0;1
"V53";1;0;0;0
"V54";0;1;0;0
"V55";0;1;0;0
"V56";0;0;0;1
