"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15"
"1";0;1;0;0;1;0;0;1;0;0;0;0;1;0;0
"2";1;1;0;1;1;1;1;1;1;0;1;0;1;1;0
"3";1;0;0;0;1;0;1;1;0;0;1;0;0;1;0
"4";1;0;0;0;1;1;0;0;1;0;0;1;0;0;0
"5";1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"6";1;0;1;0;0;0;1;1;0;1;1;0;0;1;0
"7";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"8";1;1;0;1;1;1;1;1;1;1;1;0;1;1;1
"9";0;1;0;0;0;0;1;1;1;0;0;0;1;1;0
"10";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"11";1;1;0;0;1;0;1;1;0;0;1;0;0;0;0
"12";1;0;0;0;1;0;1;1;0;1;1;0;0;1;0
"13";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"14";1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"17";1;1;1;0;1;0;0;1;0;1;0;0;1;1;0
"18";0;1;0;0;1;1;1;1;0;1;1;0;1;0;0
"19";0;1;0;0;0;1;1;0;0;0;0;0;0;1;0
"20";1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
"21";0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
"22";0;1;0;0;1;1;1;1;0;0;0;0;0;0;0
"23";1;1;1;0;1;1;0;1;0;0;0;0;0;1;0
"24";1;1;1;0;1;0;0;1;0;0;1;0;1;0;0
"25";1;0;0;0;1;1;1;0;0;1;0;0;0;1;1
"26";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"27";0;1;0;0;1;1;1;1;0;0;0;0;0;0;0
"28";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"29";1;1;1;0;1;1;1;0;0;0;1;1;1;0;0
"30";0;1;0;0;0;0;0;1;0;1;0;0;1;1;0
"31";0;1;1;0;0;0;1;1;0;0;1;0;0;0;0
"32";1;1;0;0;1;1;1;1;1;1;0;1;1;1;0
"33";1;1;0;0;0;1;0;1;0;0;0;0;0;1;0
"34";1;1;0;0;0;1;1;1;1;0;1;0;0;0;0
"35";1;1;0;0;1;1;1;1;0;0;1;1;0;0;0
"36";1;1;0;0;1;1;1;1;0;0;1;0;0;0;0
"37";1;0;0;0;0;0;1;1;1;0;1;0;0;0;0
"38";1;1;1;1;1;1;1;1;0;1;1;1;0;0;0
"39";1;1;0;0;1;0;0;1;1;1;0;0;0;0;0
"40";1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
"41";0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
"42";0;1;1;0;0;1;0;0;0;0;1;0;1;1;0
"43";0;1;1;0;1;1;1;1;0;1;1;0;1;0;1
"44";0;1;0;0;0;0;1;0;1;0;0;0;0;1;1
"45";1;0;0;0;1;0;1;0;0;1;1;0;0;0;0
