"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";1;1;1;1
"V3";0;0;0;1
"V4";1;1;1;1
"V5";1;1;1;1
"V6";1;1;1;1
"V7";0;1;0;0
"V8";1;0;0;0
"V9";1;1;1;1
"V10";0;0;0;1
"V11";1;0;1;1
"V12";1;1;1;1
"V13";1;0;1;0
"V14";0;1;1;1
"V15";0;0;1;1
"V16";1;1;1;1
"V17";1;1;1;1
"V18";1;0;1;1
"V19";0;0;1;1
"V20";0;1;1;1
"V21";0;1;1;1
"V22";0;1;1;0
"V23";1;0;0;1
"V24";0;1;0;1
"V25";0;1;1;0
"V26";0;0;1;1
"V27";1;1;0;0
"V28";0;0;1;0
"V29";0;0;0;1
"V30";0;0;0;1
"V31";0;0;0;1
"V32";0;1;0;0
"V33";0;1;0;0
"V34";0;0;0;1
"V35";0;0;1;0
"V36";0;0;1;0
"V37";0;0;0;1
"V38";0;0;1;1
"V39";0;1;0;0
"V40";0;1;0;0
"V41";0;0;1;0
