"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";0;1;0;0
"V3";0;0;1;0
"V4";1;1;1;1
"V5";1;1;1;1
"V6";1;1;1;1
"V7";0;1;0;0
"V8";1;1;1;1
"V9";1;1;1;1
"V10";0;1;0;0
"V11";1;1;1;1
"V12";0;1;0;0
"V13";0;1;0;0
"V14";0;0;0;1
"V15";1;1;1;1
"V16";0;1;0;0
"V17";1;1;1;1
"V18";0;0;0;1
"V19";1;1;1;1
"V20";1;1;1;1
"V21";0;0;1;0
"V22";1;1;1;1
"V23";0;0;1;0
"V24";1;1;1;1
"V25";0;0;1;0
"V26";1;1;1;1
"V27";1;1;0;0
"V28";1;1;1;0
"V29";0;0;0;1
"V30";0;0;1;0
"V31";1;1;0;1
"V32";0;1;1;1
"V33";1;1;0;0
"V34";1;1;1;0
"V35";1;1;0;1
"V36";0;0;1;0
"V37";0;0;1;0
