"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";0;0;0;1
"V3";0;0;1;0
"V4";1;1;1;1
"V5";1;1;1;1
"V6";0;0;1;1
"V7";1;1;1;1
"V8";1;1;1;1
"V9";1;1;1;1
"V10";1;1;1;1
"V11";0;1;0;0
"V12";1;1;1;1
"V13";1;1;1;1
"V14";0;0;0;1
"V15";0;0;1;1
"V16";1;1;1;1
"V17";0;0;1;0
"V18";0;1;0;1
"V19";0;0;1;1
"V20";1;1;1;1
"V21";1;1;1;1
"V22";1;1;0;1
"V23";1;1;0;1
"V24";1;0;1;1
"V25";1;0;1;1
"V26";1;0;0;0
"V27";0;1;0;1
"V28";0;0;1;1
"V29";0;0;1;1
"V30";1;0;1;0
"V31";1;1;0;0
"V32";0;1;0;0
"V33";1;0;1;0
"V34";0;0;1;1
"V35";1;1;0;0
"V36";0;1;1;0
"V37";0;0;0;1
