"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";1;1;1;1
"V3";1;1;1;1
"V4";1;1;0;1
"V5";0;0;1;0
"V6";1;1;1;1
"V7";1;1;1;1
"V8";1;1;1;1
"V9";1;1;1;1
"V10";0;1;0;0
"V11";1;1;1;1
"V12";1;1;1;1
"V13";1;1;1;1
"V14";0;1;0;0
"V15";1;1;1;1
"V16";1;1;1;1
"V17";1;1;1;1
"V18";0;1;0;0
"V19";1;1;1;1
"V20";1;0;0;0
"V21";0;0;1;0
"V22";1;1;1;1
"V23";1;1;1;1
"V24";1;1;1;1
"V25";1;1;1;0
"V26";1;1;1;1
"V27";1;1;1;1
"V28";1;1;1;0
"V29";0;0;1;1
"V30";1;1;1;0
"V31";0;1;0;1
"V32";1;1;1;0
"V33";1;1;1;0
"V34";1;1;1;0
"V35";1;1;0;1
"V36";1;0;1;1
"V37";1;0;1;1
"V38";1;1;0;0
"V39";1;1;1;0
"V40";0;0;1;0
"V41";0;1;0;0
"V42";0;0;1;0
"V43";0;0;1;0
"V44";1;0;0;0
"V45";0;0;1;0
"V46";1;0;0;0
"V47";0;0;1;0
