"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";1;1;1;0
"V3";1;1;1;1
"V4";0;1;1;1
"V5";1;1;1;1
"V6";1;1;1;1
"V7";1;1;1;1
"V8";0;1;0;0
"V9";1;1;0;1
"V10";1;1;0;1
"V11";1;1;1;1
"V12";0;0;1;0
"V13";1;1;1;1
"V14";1;1;1;1
"V15";1;1;1;1
"V16";1;0;1;1
"V17";1;1;1;1
"V18";1;1;1;1
"V19";1;1;1;1
"V20";1;1;1;1
"V21";1;0;1;0
"V22";1;0;1;1
"V23";1;0;1;1
"V24";1;1;1;1
"V25";0;1;1;1
"V26";1;0;1;1
"V27";0;0;1;0
"V28";0;1;0;1
"V29";0;1;1;0
"V30";0;0;1;1
"V31";1;0;1;0
"V32";1;0;1;0
"V33";1;0;0;1
"V34";1;0;1;0
"V35";1;0;0;1
"V36";0;1;1;0
"V37";1;0;1;0
