"";"V1";"V2";"V3";"V4";"V5";"V6";"V7"
"V1";0;0;1;0;0;0;0
"V2";0;1;0;0;0;0;0
"V3";1;1;1;1;1;1;1
"V4";1;1;1;1;1;1;0
"V5";1;1;1;1;1;1;0
"V6";1;1;0;1;1;1;0
"V7";0;0;0;0;1;0;0
"V8";0;1;1;0;1;0;0
"V9";1;1;1;1;1;1;1
"V10";1;1;1;1;1;1;1
"V11";1;1;1;1;1;0;1
"V12";1;1;1;1;1;1;1
"V13";0;1;0;0;1;0;1
"V14";1;1;1;1;1;1;1
"V15";1;1;1;1;1;1;1
"V16";1;1;1;1;1;0;1
"V17";1;0;1;1;1;1;1
"V18";1;1;1;1;1;1;1
"V19";1;1;1;1;1;1;1
"V20";1;1;1;1;1;1;1
"V21";1;1;1;1;1;1;1
"V22";0;1;1;1;1;1;1
"V23";0;1;1;1;1;1;1
"V24";1;1;1;1;1;1;1
"V25";1;1;1;1;1;1;1
"V26";1;1;1;1;1;1;1
"V27";0;0;0;0;0;0;1
"V28";0;1;1;1;1;1;1
"V29";1;1;1;1;1;1;1
"V30";1;1;1;1;1;1;1
"V31";0;0;0;1;1;0;0
"V32";0;1;1;1;0;1;1
"V33";1;0;1;1;1;1;1
"V34";0;0;0;0;0;0;1
"V35";1;1;1;0;1;1;1
"V36";1;1;1;1;1;0;1
"V37";0;1;0;0;1;1;1
"V38";1;1;0;0;1;1;1
"V39";1;0;1;1;1;1;1
"V40";1;0;1;1;1;1;1
"V41";1;0;1;1;1;0;1
"V42";1;0;1;0;1;1;1
"V43";1;1;0;1;1;0;1
"V44";0;1;1;1;1;0;1
"V45";0;0;1;0;0;0;0
"V46";1;1;1;0;1;1;1
"V47";0;1;1;1;1;1;1
"V48";1;1;0;1;1;1;1
"V49";0;1;1;1;1;1;1
"V50";0;1;1;1;0;0;0
"V51";0;1;1;1;1;0;1
"V52";0;1;1;1;1;0;1
"V53";1;1;0;1;1;1;1
"V54";1;1;1;1;1;0;1
"V55";1;1;1;1;1;1;0
"V56";1;0;1;1;1;1;1
"V57";1;1;1;0;1;1;1
"V58";1;1;0;1;0;1;1
"V59";1;0;1;1;1;1;1
"V60";1;1;1;1;0;1;1
"V61";1;0;1;1;1;1;1
"V62";0;1;0;1;1;1;1
"V63";1;1;1;1;0;1;0
"V64";0;1;1;1;1;0;1
"V65";1;0;1;1;1;1;1
"V66";1;1;1;1;1;0;1
"V67";1;1;1;1;1;0;1
"V68";0;1;0;1;1;0;1
"V69";0;1;0;1;1;0;0
"V70";0;1;0;1;0;1;1
"V71";0;1;1;0;1;0;1
"V72";0;1;1;1;1;0;1
"V73";0;0;1;1;1;0;0
"V74";0;0;0;0;0;1;1
"V75";0;0;1;0;0;1;0
"V76";0;1;1;0;0;0;0
"V77";0;0;1;1;0;0;0
"V78";0;0;1;0;0;0;0
"V79";0;0;0;0;1;0;0
"V80";0;0;1;0;0;0;0
"V81";0;0;1;0;0;0;0
"V82";0;1;0;0;0;0;0
"V83";0;0;0;0;0;0;1
"V84";0;0;0;0;1;0;0
"V85";0;0;0;0;0;0;1
"V86";0;0;0;1;0;0;0
"V87";0;0;0;0;0;1;0
"V88";0;0;0;1;0;0;0
"V89";0;0;0;0;0;0;1
"V90";0;0;0;1;0;0;0
