"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";0;0;1;0
"V3";0;0;0;1
"V4";0;0;1;1
"V5";1;1;1;1
"V6";1;1;1;1
"V7";1;1;1;1
"V8";0;0;1;0
"V9";0;0;1;0
"V10";0;1;0;0
"V11";0;0;1;0
"V12";1;1;1;1
"V13";1;0;0;0
"V14";0;0;1;0
"V15";1;1;1;1
"V16";1;0;0;0
"V17";0;0;0;1
"V18";0;0;1;0
"V19";0;0;0;1
"V20";0;0;0;1
"V21";0;0;0;1
"V22";1;0;0;0
"V23";1;0;0;0
"V24";0;0;0;1
"V25";1;1;1;1
"V26";1;1;1;1
"V27";1;1;1;1
"V28";1;1;1;0
"V29";1;1;0;1
"V30";1;0;0;0
"V31";0;1;1;1
"V32";1;0;1;1
"V33";1;0;1;1
"V34";0;1;1;1
"V35";0;1;1;1
"V36";1;1;0;1
"V37";0;1;1;1
"V38";1;1;1;0
"V39";1;1;1;0
"V40";0;1;0;0
"V41";0;1;0;0
"V42";0;0;1;1
"V43";0;0;0;1
"V44";1;0;0;0
"V45";1;0;0;1
"V46";1;0;0;1
"V47";0;1;0;0
"V48";0;1;0;1
"V49";1;0;0;0
"V50";0;0;0;1
"V51";0;0;1;0
"V52";0;0;1;0
"V53";1;0;0;0
"V54";0;0;1;0
"V55";0;0;0;1
