"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12"
"V1";1;1;1;1;1;1;1;1;1;1;1;1
"V2";0;0;0;0;0;1;0;0;0;0;0;0
"V3";0;0;0;0;1;1;0;1;1;0;1;1
"V4";0;0;1;0;0;0;0;0;1;0;1;0
"V5";0;1;1;0;1;0;0;0;1;0;1;0
"V6";0;0;0;0;0;0;0;1;0;0;0;0
"V7";0;1;0;0;0;0;0;0;0;0;0;0
"V8";0;1;0;0;0;0;0;0;0;0;0;0
"V9";0;0;0;0;0;0;0;0;1;0;1;0
"V10";0;0;0;1;0;1;0;0;1;0;0;1
"V11";0;1;1;1;0;1;0;0;1;0;1;1
"V12";1;1;1;1;1;1;1;0;1;1;1;1
"V13";1;0;0;0;0;0;0;0;0;0;0;0
"V14";1;1;1;0;0;1;1;0;1;1;1;1
"V15";1;1;1;0;1;1;1;1;1;0;1;1
"V16";0;1;1;1;1;1;1;1;1;1;1;1
"V17";1;0;1;1;1;1;1;1;1;1;1;1
"V18";1;1;1;1;1;1;1;1;1;1;1;1
"V19";1;0;1;1;0;1;1;1;1;1;0;1
"V20";0;0;1;0;0;0;0;1;0;1;1;1
"V21";1;0;0;0;0;0;0;0;0;0;0;0
"V22";0;1;1;1;1;1;1;1;1;1;1;1
"V23";1;1;1;0;0;0;1;0;0;1;1;1
"V24";1;0;0;1;1;1;0;1;0;0;0;1
"V25";0;0;0;0;0;1;0;0;1;0;1;0
"V26";1;1;1;1;1;1;1;1;1;0;1;1
"V27";1;1;1;1;1;1;1;1;1;0;1;1
"V28";1;1;1;1;0;0;0;1;0;1;1;1
"V29";1;1;1;0;1;1;1;1;1;1;1;1
"V30";1;1;1;1;0;1;1;1;1;1;1;1
"V31";1;1;1;1;1;0;0;0;1;1;1;1
"V32";1;1;1;1;1;1;1;0;0;0;1;1
"V33";1;1;1;1;0;1;1;0;1;0;1;0
"V34";1;1;1;0;1;1;1;1;1;1;1;1
"V35";0;0;0;0;0;0;1;0;0;0;0;0
"V36";1;1;1;1;1;1;1;1;0;1;0;1
"V37";1;1;1;1;1;1;1;1;1;1;1;1
"V38";0;0;0;1;0;0;0;0;0;0;0;0
"V39";0;0;0;0;0;0;1;0;0;0;0;0
"V40";0;0;0;0;1;0;0;0;0;0;0;0
"V41";0;0;0;0;0;0;1;0;0;0;0;0
"V42";0;0;0;0;0;0;0;0;0;0;0;1
"V43";0;0;0;0;0;0;0;0;0;0;0;1
"V44";0;0;1;0;0;0;0;0;0;0;0;1
"V45";0;0;0;0;0;0;0;0;0;0;0;1
"V46";0;0;0;0;0;0;0;0;0;0;1;0
"V47";0;0;0;0;0;0;0;0;0;1;0;1
"V48";1;0;0;0;0;0;0;0;0;0;0;0
"V49";1;1;0;0;1;1;0;0;1;0;1;1
"V50";0;0;0;0;0;1;0;0;0;0;0;0
