"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39"
"V1";1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0
"V2";0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V3";0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1
"V4";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0
"V5";0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0
"V6";0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
"V7";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V8";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V9";0;1;0;0;1;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;1
"V10";0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
"V11";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"V12";1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1
"V13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"V14";1;0;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1
"V15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V16";1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1;1;1;0;0;1;0;1
"V17";0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;1
"V18";1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1
"V19";0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;0;0;0;1;1;0
"V20";1;1;1;0;1;1;0;1;1;1;0;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;1
"V21";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V22";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"V23";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V24";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1
"V25";0;1;0;0;0;0;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;0;0;1;0;1
"V26";0;1;0;1;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;0;1
"V27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1
"V28";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V29";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V30";1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1
"V31";0;1;1;1;0;1;0;1;0;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0
"V32";0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"V33";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V34";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0
"V35";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
"V36";1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0
"V37";0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
"V38";1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0
"V39";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V40";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V41";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0
"V42";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V43";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
