"";"V1";"V2";"V3";"V4"
"V1";1;1;1;1
"V2";1;1;0;1
"V3";1;1;1;1
"V4";1;1;1;1
"V5";0;0;1;1
"V6";1;1;1;1
"V7";0;1;0;1
"V8";1;0;0;0
"V9";1;1;1;1
"V10";1;1;0;1
"V11";1;0;0;0
"V12";0;1;0;0
"V13";1;1;1;1
"V14";1;1;1;1
"V15";1;0;0;1
"V16";1;1;1;1
"V17";1;1;1;1
"V18";1;1;1;1
"V19";1;1;1;1
"V20";0;0;1;1
"V21";1;1;1;1
"V22";0;0;1;1
"V23";1;1;1;1
"V24";0;0;1;1
"V25";1;1;1;1
"V26";1;0;0;1
"V27";1;1;1;1
"V28";1;0;0;1
"V29";1;1;1;0
"V30";1;1;1;1
"V31";1;1;1;1
"V32";1;1;1;0
"V33";1;1;1;1
"V34";1;1;1;0
"V35";0;0;0;1
"V36";1;1;1;1
"V37";0;0;0;1
"V38";1;1;1;1
"V39";0;1;1;1
"V40";1;1;1;1
"V41";0;0;1;1
"V42";0;0;0;1
"V43";1;1;1;1
"V44";0;0;1;1
"V45";1;1;1;1
"V46";1;1;1;1
"V47";1;1;1;1
"V48";1;0;1;0
"V49";0;0;1;1
"V50";0;1;1;1
"V51";0;0;0;1
"V52";0;0;1;1
"V53";0;0;0;1
"V54";1;0;0;0
"V55";1;0;0;0
"V56";0;1;0;0
"V57";0;1;0;0
"V58";0;0;0;1
"V59";0;1;0;0
"V60";0;0;0;1
"V61";1;0;0;0
"V62";0;1;0;0
"V63";0;0;0;1
"V64";0;0;0;1
"V65";0;0;0;1
"V66";0;0;0;1
"V67";0;1;0;0
"V68";0;0;0;1
"V69";0;0;0;1
"V70";0;1;0;0
"V71";0;1;0;0
"V72";0;1;0;0
"V73";0;0;0;1
"V74";0;0;1;0
"V75";0;0;0;1
"V76";0;1;0;0
"V77";1;0;0;0
"V78";0;0;0;1
"V79";0;0;0;1
"V80";0;0;0;1
"V81";1;0;0;0
"V82";1;0;0;0
"V83";1;0;0;0
"V84";0;0;0;1
"V85";0;1;0;0
"V86";0;0;0;1
"V87";0;0;1;0
"V88";0;0;1;0
"V89";0;0;1;0
"V90";1;0;0;0
"V91";0;0;1;0
"V92";1;0;0;0
