"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20"
"V1";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V2";1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1
"V3";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"V4";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"V5";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
"V6";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"V7";1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1
"V8";1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1;1
"V9";1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;1;1;0
"V10";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V11";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V12";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"V13";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"V14";1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1
"V15";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V16";1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"V17";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V18";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"V19";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
"V20";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V21";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"V22";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"V23";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"V24";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V25";1;0;1;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1
"V26";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V27";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V28";1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1;0
"V29";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V30";1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1
"V31";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V32";1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"V33";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
"V34";1;1;0;0;1;0;1;1;1;1;1;1;0;1;0;1;1;1;1;0
"V35";1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"V36";1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;1
"V37";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V38";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"V39";0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"V40";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1
"V41";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"V42";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"V43";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V44";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V45";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"V46";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V47";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"V48";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V49";0;0;1;0;1;0;0;1;0;1;0;1;1;1;0;1;1;0;1;0
"V50";0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1
"V51";1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0
"V52";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"V53";1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;1;1;0
"V54";1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1
"V55";1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"V56";1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1
"V57";1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1
"V58";1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1
"V59";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V60";1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0
"V61";1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0
"V62";1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0
"V63";0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
"V64";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"V65";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V66";1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0
"V67";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V68";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V69";0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1
"V70";0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"V71";0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;1
"V72";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V73";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V74";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V75";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"V76";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V77";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V78";0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"V79";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"V81";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V82";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"V83";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V84";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"V85";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"V86";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"V87";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"V88";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
