"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32"
"V1";1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0
"V2";1;0;1;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0
"V3";1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0
"V4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"V5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V6";0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"V7";0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0
"V8";0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;1;0;0
"V9";0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"V10";1;0;1;0;1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1;1;1;0
"V11";1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1
"V12";1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1
"V13";1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0
"V14";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"V15";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V16";0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0
"V17";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"V18";1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
"V19";0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0
"V20";1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0
"V21";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
