"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17"
"V1";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V2";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"V3";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V4";1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1
"V5";1;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0
"V6";0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
"V7";0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0
"V8";1;0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0
"V9";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"V10";1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"V11";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"V12";1;1;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0
"V13";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
"V14";1;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0
"V15";1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
"V16";0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0
"V17";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"V18";1;0;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1
"V19";1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"V20";1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1
"V21";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"V22";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"V23";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1
"V24";0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"V25";0;1;1;0;0;1;0;0;1;1;0;1;1;1;0;0;0
"V26";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
